salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.4,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,2.8,89,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.4,99,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
32000.0,40000.0,36000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.6,854,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.1,574,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,252,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,4.7,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50000.0,55000.0,52500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,2.6,239,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,2.8,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
,,,3.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.5,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
96000.0,96000.0,96000.0,5.0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
21924.0,43044.0,32484.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
40000.0,40000.0,40000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,3.5,40,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
38761.0,53561.0,46161.0,4.1,312,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.2,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.1,132,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
40000.0,50000.0,45000.0,4.4,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.1,166,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
6720.0,6720.0,6720.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,4.7,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25000.0,45000.0,35000.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
40000.0,60000.0,50000.0,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25000.0,45000.0,35000.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
40000.0,60000.0,50000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.2,517,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.5,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.8,2337,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.6,854,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,2337,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27692.0,34800.0,31246.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.1,2483,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32595.0,46836.0,39715.5,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,2.8,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30000.0,34800.0,32400.0,4.0,55,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
25000.0,45000.0,35000.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,252,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30000.0,45000.0,37500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,,,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40000.0,45000.0,42500.0,3.9,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.5,820,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,4.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.1,297,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
