salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur,mode_an
45000.0,55000.0,50000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
35000.0,37000.0,36000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.5,646,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
7200.0,7200.0,7200.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
,,,3.3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
,,,5.0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,2.7,354,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,4.0,1249,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
40000.0,50000.0,45000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,2.0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.1,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,5.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
