salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,mode_an,mode_heure,mode_jour,mode_mois,mode_semaine,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur
25000.0,35000.0,30000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
96000.0,96000.0,96000.0,4.1,13,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30000.0,36000.0,33000.0,3.9,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,45000.0,37500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,30000.0,30000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32000.0,40000.0,36000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45000.0,52000.0,48500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,35000.0,31500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32000.0,40000.0,36000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
50000.0,70000.0,60000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25000.0,35000.0,30000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,42000.0,38500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25000.0,35000.0,30000.0,3.6,854,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25000.0,35000.0,30000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
36000.0,40800.0,38400.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100000.0,110000.0,105000.0,4.5,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
100000.0,110000.0,105000.0,4.5,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
33000.0,40000.0,36500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34000.0,37000.0,35500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
35000.0,45000.0,40000.0,4.8,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
16800.0,21600.0,19200.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
40000.0,50000.0,45000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
24000.0,30000.0,27000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45000.0,55000.0,50000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
13800.0,13800.0,13800.0,4.1,67,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
32000.0,40000.0,36000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
27911.0,48565.0,38238.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,40000.0,34000.0,4.3,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
26000.0,32000.0,29000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
19200.0,24000.0,21600.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
45000.0,56000.0,50500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
28000.0,48000.0,38000.0,4.5,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
40000.0,50000.0,45000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,40000.0,34000.0,4.3,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
8400.0,8400.0,8400.0,5.0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14400.0,14400.0,14400.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
27600.0,36000.0,31800.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
30000.0,50000.0,40000.0,0.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
48000.0,96000.0,72000.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
32000.0,37000.0,34500.0,4.5,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,45000.0,41500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,45000.0,41500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25000.0,35000.0,30000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
26000.0,34000.0,30000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32000.0,40000.0,36000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
22800.0,30000.0,26400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
